"Onderwerpen_1";"Onderwerpen_2";"Bedrijfstakken/branches (SBI 2008)";"Perioden";"2010";"2011"
"Arbeidsvolume";"Werkzame persoon";"016 Dienstverlening voor de landbouw";"x 1 000";"29.4";"31.6"
"Arbeidsvolume";"Werkzame persoon";"B-E Nijverheid (geen bouw) en energie";"x 1 000";"874.0";"882.7"
"Arbeidsvolume";"Werkzame persoon";"B Delfstoffenwinning";"x 1 000";"10.8";"13.7"
"Arbeidsvolume";"Werkzame persoon";"06 Winning van aardolie en aardgas";"x 1 000";"3.9";"4.1"
"Arbeidsvolume";"Werkzame persoon";"08 Delfstoffenwinning (geen olie en gas)";"x 1 000";"1.9";"2.1"
"Arbeidsvolume";"Werkzame persoon";"09 Dienstverlening delfstoffenwinning";"x 1 000";"5.0";"7.5"
"Arbeidsvolume";"Werkzame persoon";"C Industrie";"x 1 000";"798.9";"802.8"
"Arbeidsvolume";"Werkzame persoon";"10-12 Voedings-, genotmiddelenindustrie";"x 1 000";"130.9";"129.9"
"Arbeidsvolume";"Werkzame persoon";"10 Voedingsmiddelenindustrie";"x 1 000";"120.3";"119.6"
"Arbeidsvolume";"Werkzame persoon";"101 Slachterijen en vleeswarenindustrie";"x 1 000";"20.4";"20.5"
"Arbeidsvolume";"Werkzame persoon";"1011 Slachterijen (geen pluimvee)";"x 1 000";"8.5";"8.4"
"Arbeidsvolume";"Werkzame persoon";"1012 Pluimveeslachterijen";"x 1 000";"4.5";"4.9"
"Arbeidsvolume";"Werkzame persoon";"1013 Vleesverwerkende industrie";"x 1 000";"7.4";"7.2"
"Arbeidsvolume";"Werkzame persoon";"102 Visverwerkende industrie";"x 1 000";"3.0";"3.0"
"Arbeidsvolume";"Werkzame persoon";"103 Groente-, fruitverwerkende industrie";"x 1 000";".";"12.0"
"Arbeidsvolume";"Werkzame persoon";"1031 Aardappelproductenindustrie";"x 1 000";"4.2";"4.5"
"Arbeidsvolume";"Werkzame persoon";"104 Spijsoliën- en -vettenindustrie e.d.";"x 1 000";"2.7";"2.6"
"Arbeidsvolume";"Werkzame persoon";"105 Zuivelindustrie";"x 1 000";"11.7";"11.7"
"Arbeidsvolume";"Werkzame persoon";"106 Meelindustrie";"x 1 000";"3.1";"3.3"
"Arbeidsvolume";"Werkzame persoon";"1061 Meelindustrie (geen zetmeel)";"x 1 000";"1.4";"1.5"
"Arbeidsvolume";"Werkzame persoon";"1062 Zetmeelindustrie";"x 1 000";"1.8";"1.9"
"Arbeidsvolume";"Werkzame persoon";"107 Brood- en deegwarenindustrie";"x 1 000";"35.6";"34.7"
"Arbeidsvolume";"Werkzame persoon";"1072 Banket- en koekindustrie";"x 1 000";"6.9";"6.3"
"Arbeidsvolume";"Werkzame persoon";"108 Overige voedingsmiddelenindustrie";"x 1 000";"25.0";"24.4"
"Arbeidsvolume";"Werkzame persoon";"1082 Cacao- en chocoladewerkindustrie";"x 1 000";"6.7";"6.7"
"Arbeidsvolume";"Werkzame persoon";"109 Diervoederindustrie";"x 1 000";"7.4";"7.5"
"Arbeidsvolume";"Werkzame persoon";"11 Drankenindustrie";"x 1 000";"7.6";"7.4"
"Arbeidsvolume";"Werkzame persoon";"1107 Frisdrankindustrie";"x 1 000";"2.2";"2.2"
"Arbeidsvolume";"Werkzame persoon";"12 Tabaksindustrie";"x 1 000";"3.0";"2.9"
"Arbeidsvolume";"Werkzame persoon";"13-15 Textiel-, kleding-, lederindustrie";"x 1 000";"16.4";"16.3"
"Arbeidsvolume";"Werkzame persoon";"13 Textielindustrie";"x 1 000";"11.6";"12.2"
"Arbeidsvolume";"Werkzame persoon";"139 Overige textielproductenindustrie";"x 1 000";"8.7";"9.1"
"Arbeidsvolume";"Werkzame persoon";"14 Kledingindustrie";"x 1 000";"3.0";"2.5"
"Arbeidsvolume";"Werkzame persoon";"15 Leer- en schoenenindustrie";"x 1 000";"1.8";"1.6"
"Arbeidsvolume";"Werkzame persoon";"16+23 Hout- en bouwmaterialenindustrie";"x 1 000";"44.7";"43.8"
"Arbeidsvolume";"Werkzame persoon";"16 Houtindustrie";"x 1 000";"17.1";"16.0"
"Arbeidsvolume";"Werkzame persoon";"161 Primaire houtbewerking e.d.";"x 1 000";"1.4";"1.3"
"Arbeidsvolume";"Werkzame persoon";"162 Hout-, kurk-, en rietwarenindustrie";"x 1 000";"15.7";"14.7"
"Arbeidsvolume";"Werkzame persoon";"1623 Timmerindustrie";"x 1 000";"10.7";"10.3"
"Arbeidsvolume";"Werkzame persoon";"17-18 Papier- en grafische industrie";"x 1 000";"48.6";"46.9"
"Arbeidsvolume";"Werkzame persoon";"17 Papierindustrie";"x 1 000";"18.7";"18.3"
"Arbeidsvolume";"Werkzame persoon";"171 Pulp-, papier- en kartonindustrie";"x 1 000";"3.8";"3.9"
"Arbeidsvolume";"Werkzame persoon";"172 Papier- en kartonwarenindustrie";"x 1 000";"14.9";"14.4"
"Arbeidsvolume";"Werkzame persoon";"1721 Karton- e.d. verpakkingenindustrie";"x 1 000";"8.0";"8.0"
"Arbeidsvolume";"Werkzame persoon";"18 Grafische industrie";"x 1 000";"29.9";"28.7"
"Arbeidsvolume";"Werkzame persoon";"181 Drukkerijen en diensten daarvoor";"x 1 000";"29.0";"27.8"
"Arbeidsvolume";"Werkzame persoon";"1812 Overige drukkerijen";"x 1 000";"24.0";"23.0"
"Arbeidsvolume";"Werkzame persoon";"182 Repro van geluid, beeld en software";"x 1 000";"0.9";"0.8"
"Arbeidsvolume";"Werkzame persoon";"19-22 Raffinaderijen en chemie";"x 1 000";"100.3";"101.1"
"Arbeidsvolume";"Werkzame persoon";"19 Aardolie-industrie";"x 1 000";"6.4";"6.1"
"Arbeidsvolume";"Werkzame persoon";"19201 Raffinaderijen";"x 1 000";"5.4";"5.1"
"Arbeidsvolume";"Werkzame persoon";"20-21 Chemie en farmaceutische industrie";"x 1 000";"62.5";"62.7"
"Arbeidsvolume";"Werkzame persoon";"20 Chemische industrie";"x 1 000";"46.3";"47.9"
"Arbeidsvolume";"Werkzame persoon";"201 Basischemie";"x 1 000";"26.6";"27.9"
"Arbeidsvolume";"Werkzame persoon";"2013 Overige anorganische basischemie";"x 1 000";"2.9";"3.0"
"Arbeidsvolume";"Werkzame persoon";"2014 Overige organische basischemie";"x 1 000";"9.0";"9.6"
"Arbeidsvolume";"Werkzame persoon";"20141 Petrochemische industrie";"x 1 000";"5.5";"4.9"
"Arbeidsvolume";"Werkzame persoon";"20149 Overige organische basischemie";"x 1 000";"3.5";"4.7"
"Arbeidsvolume";"Werkzame persoon";"2015 Kunstmestindustrie";"x 1 000";"1.5";"1.5"
"Arbeidsvolume";"Werkzame persoon";"2016 Kunststofindustrie";"x 1 000";"9.8";"10.2"
"Arbeidsvolume";"Werkzame persoon";"203 Verf-, vernis- en drukinktindustrie";"x 1 000";"6.2";"6.2"
"Arbeidsvolume";"Werkzame persoon";"205 Overige chemische productenindustrie";"x 1 000";"7.0";"7.3"
"Arbeidsvolume";"Werkzame persoon";"206 Synthetische vezelindustrie";"x 1 000";"2.2";"2.3"
"Arbeidsvolume";"Werkzame persoon";"21 Farmaceutische industrie";"x 1 000";"16.3";"14.8"
"Arbeidsvolume";"Werkzame persoon";"211 Farmaceutische grondstofindustrie";"x 1 000";"0.4";"0.4"
"Arbeidsvolume";"Werkzame persoon";"212 Farmaceutische productenindustrie";"x 1 000";"15.9";"14.4"
"Arbeidsvolume";"Werkzame persoon";"22 Rubber- en kunststofproductindustrie";"x 1 000";"31.4";"32.3"
"Arbeidsvolume";"Werkzame persoon";"221 Rubberproductenindustrie";"x 1 000";"3.6";"3.9"
"Arbeidsvolume";"Werkzame persoon";"222 Kunststofproductenindustrie";"x 1 000";"27.8";"28.4"
"Arbeidsvolume";"Werkzame persoon";"2221 Kunststofplaat-, -profielindustrie";"x 1 000";"9.1";"8.9"
"Arbeidsvolume";"Werkzame persoon";"2229 Overige kunststofproductenindustrie";"x 1 000";"8.7";"8.1"
"Arbeidsvolume";"Werkzame persoon";"23 Bouwmaterialenindustrie";"x 1 000";"27.6";"27.8"
"Arbeidsvolume";"Werkzame persoon";"231 Glas- en glaswerkindustrie";"x 1 000";"5.7";"5.5"
"Arbeidsvolume";"Werkzame persoon";"236 Beton-, gips-, cementwarenindustrie";"x 1 000";"13.4";"13.7"
"Arbeidsvolume";"Werkzame persoon";"2361 Betonwaren-, kalkzandsteenindustrie";"x 1 000";"10.2";"10.6"
"Arbeidsvolume";"Werkzame persoon";"237 Natuursteenbewerkende industrie";"x 1 000";"2.1";"1.9"
"Arbeidsvolume";"Werkzame persoon";"24-30, 33 Metaal-elektro industrie";"x 1 000";"332.5";"338.1"
"Arbeidsvolume";"Werkzame persoon";"24-25 Basismetaal, metaalprod.-industrie";"x 1 000";"116.3";"118.1"
"Arbeidsvolume";"Werkzame persoon";"24 Basismetaalindustrie";"x 1 000";"21.8";"21.9"
"Arbeidsvolume";"Werkzame persoon";"241 IJzer- en staalindustrie";"x 1 000";"x";"x"
"Arbeidsvolume";"Werkzame persoon";"244 Edel- en non-ferrometaalindustrie";"x 1 000";"5.7";"5.5"
"Arbeidsvolume";"Werkzame persoon";"245 Metaalgieterijen";"x 1 000";"3.8";"4.2"
"Arbeidsvolume";"Werkzame persoon";"25 Metaalproductenindustrie";"x 1 000";"94.5";"96.2"
"Arbeidsvolume";"Werkzame persoon";"251 Metalen bouwproductenindustrie";"x 1 000";"39.0";"40.7"
"Arbeidsvolume";"Werkzame persoon";"255 Smederijen, profielwalserijen e.d.";"x 1 000";"8.7";"8.4"
"Arbeidsvolume";"Werkzame persoon";"256 Overige metaalbewerkingsindustrie";"x 1 000";"23.9";"25.7"
"Arbeidsvolume";"Werkzame persoon";"2561 Oppervlaktebehandelingsindustrie";"x 1 000";"8.3";"8.6"
"Arbeidsvolume";"Werkzame persoon";"2562 Algemene metaalbewerkingsindustrie";"x 1 000";"15.7";"17.2"
"Arbeidsvolume";"Werkzame persoon";"257 Bestek-, gereedschapindustrie e.d.";"x 1 000";"3.8";"4.3"
"Arbeidsvolume";"Werkzame persoon";"259 Overige metaalproductenindustrie";"x 1 000";"13.2";"12.4"
"Arbeidsvolume";"Werkzame persoon";"26-27 Elektrische en elektron. Industrie";"x 1 000";"50.9";"51.8"
"Arbeidsvolume";"Werkzame persoon";"26-28 Elektrotechn. en machine-industrie";"x 1 000";"132.0";"136.4"
"Arbeidsvolume";"Werkzame persoon";"26 Elektrotechnische industrie";"x 1 000";"29.5";"28.7"
"Arbeidsvolume";"Werkzame persoon";"263 Communicatieapparatenindustrie";"x 1 000";"1.3";"1.4"
"Arbeidsvolume";"Werkzame persoon";"264 Consumentenelektronicaindustrie";"x 1 000";"1.1";"1.1"
"Arbeidsvolume";"Werkzame persoon";"265 Meetapparaten- en uurwerkindustrie";"x 1 000";"11.1";"10.8"
"Arbeidsvolume";"Werkzame persoon";"267 Optische instrumentenindustrie";"x 1 000";"1.1";"."
"Arbeidsvolume";"Werkzame persoon";"27 Elektrische apparatenindustrie";"x 1 000";"21.3";"23.1"
"Arbeidsvolume";"Werkzame persoon";"271 Elektromotor- en -panelenindustrie";"x 1 000";"6.4";"6.3"
"Arbeidsvolume";"Werkzame persoon";"273 Elektr. kabel-, schakelaarindustrie";"x 1 000";"3.0";"2.8"
"Arbeidsvolume";"Werkzame persoon";"274 Elektrische verlichtingsindustrie";"x 1 000";"5.9";"6.1"
"Arbeidsvolume";"Werkzame persoon";"275 Huishoudelijke apparatenindustrie";"x 1 000";"3.4";"4.0"
"Arbeidsvolume";"Werkzame persoon";"28 Machine-industrie";"x 1 000";"81.2";"84.5"
"Arbeidsvolume";"Werkzame persoon";"281 Motoren-, pompen- e.d. industrie";"x 1 000";"12.7";"12.7"
"Arbeidsvolume";"Werkzame persoon";"282 Overige machine-industrie algemeen";"x 1 000";"33.6";"35.6"
"Arbeidsvolume";"Werkzame persoon";"2822 Hijs- en hefwerktuigenindustrie";"x 1 000";"12.6";"13.2"
"Arbeidsvolume";"Werkzame persoon";"2829 Overige machine-industrie algemeen";"x 1 000";"11.2";"11.2"
"Arbeidsvolume";"Werkzame persoon";"283 Landbouwmachine-industrie";"x 1 000";"6.8";"7.3"
"Arbeidsvolume";"Werkzame persoon";"284 Gereedschapswerktuigenindustrie";"x 1 000";"1.6";"1.3"
"Arbeidsvolume";"Werkzame persoon";"289 Overige machine-industrie specifiek";"x 1 000";"26.4";"27.6"
"Arbeidsvolume";"Werkzame persoon";"2899 Overige machine-industrie specifiek";"x 1 000";"13.6";"15.0"
"Arbeidsvolume";"Werkzame persoon";"29-30 Transportmiddelenindustrie";"x 1 000";"43.2";"41.3"
"Arbeidsvolume";"Werkzame persoon";"29 Auto- en aanhangwagenindustrie";"x 1 000";"21.3";"21.7"
"Arbeidsvolume";"Werkzame persoon";"291 Autoindustrie";"x 1 000";"8.8";"10.1"
"Arbeidsvolume";"Werkzame persoon";"292 Carrosserie-, aanhangwagenindustrie";"x 1 000";"6.9";"6.3"
"Arbeidsvolume";"Werkzame persoon";"293 Auto-onderdelenindustrie";"x 1 000";"5.6";"5.3"
"Arbeidsvolume";"Werkzame persoon";"30 Overige transportmiddelenindustrie";"x 1 000";"21.9";"19.7"
"Arbeidsvolume";"Werkzame persoon";"301 Scheepsbouw";"x 1 000";"14.6";"12.8"
"Arbeidsvolume";"Werkzame persoon";"302 Industrie van rollend spoormaterieel";"x 1 000";"0.3";"0.3"
"Arbeidsvolume";"Werkzame persoon";"309 Overige transportmiddelenindustrie";"x 1 000";"2.8";"2.8"
"Arbeidsvolume";"Werkzame persoon";"31 Meubelindustrie";"x 1 000";"25.0";"23.7"
"Arbeidsvolume";"Werkzame persoon";"3101 Bedrijfsmeubelindustrie";"x 1 000";"14.0";"13.3"
