"Subjects_1";"Subjects_2";"Sector/branches (SIC 2008)";"Periods";"2010";"2011"
"Labour volume persons employed";"Employed person";"016 Support activities for agriculture";"x 1 000";"29.4";"31.6"
"Labour volume persons employed";"Employed person";"B-E Industry (no construction), energy";"x 1 000";"874.0";"882.7"
"Labour volume persons employed";"Employed person";"B Mining and quarrying ";"x 1 000";"10.8";"13.7"
"Labour volume persons employed";"Employed person";"06 Extraction of crude petroleum and gas";"x 1 000";"3.9";"4.1"
"Labour volume persons employed";"Employed person";"08 Mining and quarrying (no oil and gas)";"x 1 000";"1.9";"2.1"
"Labour volume persons employed";"Employed person";"09 Mining support activities";"x 1 000";"5.0";"7.5"
"Labour volume persons employed";"Employed person";"C Manufacturing";"x 1 000";"798.9";"802.8"
"Labour volume persons employed";"Employed person";"10-12 Manufacture of food and beverages";"x 1 000";"130.9";"129.9"
"Labour volume persons employed";"Employed person";"10 Manufacture of food products";"x 1 000";"120.3";"119.6"
"Labour volume persons employed";"Employed person";"101 Slaughtering, processing of meat";"x 1 000";"20.4";"20.5"
"Labour volume persons employed";"Employed person";"1011 Slaughterhouses (no poultry)";"x 1 000";"8.5";"8.4"
"Labour volume persons employed";"Employed person";"1012 Slaughterhouses (poultry)";"x 1 000";"4.5";"4.9"
"Labour volume persons employed";"Employed person";"1013 Processing of meat (no dishes)";"x 1 000";"7.4";"7.2"
"Labour volume persons employed";"Employed person";"102 Processing of fish";"x 1 000";"3.0";"3.0"
"Labour volume persons employed";"Employed person";"103  Processing of vegetables and fruit";"x 1 000";".";"12.0"
"Labour volume persons employed";"Employed person";"1031 Processing of potatoes";"x 1 000";"4.2";"4.5"
"Labour volume persons employed";"Employed person";"104 Manufacture of edible oils and fats";"x 1 000";"2.7";"2.6"
"Labour volume persons employed";"Employed person";"105 Manufacture of dairy products";"x 1 000";"11.7";"11.7"
"Labour volume persons employed";"Employed person";"106 Grain milling and starch products";"x 1 000";"3.1";"3.3"
"Labour volume persons employed";"Employed person";"1061 Manufacture of grain mill products";"x 1 000";"1.4";"1.5"
"Labour volume persons employed";"Employed person";"1062 Manufacture of starches";"x 1 000";"1.8";"1.9"
"Labour volume persons employed";"Employed person";"107 Manufacture of bakery products";"x 1 000";"35.6";"34.7"
"Labour volume persons employed";"Employed person";"1072 Manufacture of preserved pastry";"x 1 000";"6.9";"6.3"
"Labour volume persons employed";"Employed person";"108 Manufacture of other food";"x 1 000";"25.0";"24.4"
"Labour volume persons employed";"Employed person";"1082 Manufacture of cocoa,confectionary ";"x 1 000";"6.7";"6.7"
"Labour volume persons employed";"Employed person";"109 Manufacture of animal foods";"x 1 000";"7.4";"7.5"
"Labour volume persons employed";"Employed person";"11 Manufacture of beverages";"x 1 000";"7.6";"7.4"
"Labour volume persons employed";"Employed person";"1107 Manufacture of soft drinks";"x 1 000";"2.2";"2.2"
"Labour volume persons employed";"Employed person";"12 Manufacture of tobacco products";"x 1 000";"3.0";"2.9"
"Labour volume persons employed";"Employed person";"13-15 Man. of textile-, leatherproducts";"x 1 000";"16.4";"16.3"
"Labour volume persons employed";"Employed person";"13 Manufacture of textiles";"x 1 000";"11.6";"12.2"
"Labour volume persons employed";"Employed person";"139 Manufacture of other textiles";"x 1 000";"8.7";"9.1"
"Labour volume persons employed";"Employed person";"14 Manufacture of wearing apparel";"x 1 000";"3.0";"2.5"
"Labour volume persons employed";"Employed person";"15 Manufacture of leather and footwear";"x 1 000";"1.8";"1.6"
"Labour volume persons employed";"Employed person";"16+23 Man of wooden and buildingmaterial";"x 1 000";"44.7";"43.8"
"Labour volume persons employed";"Employed person";"16 Manufacture of wood products";"x 1 000";"17.1";"16.0"
"Labour volume persons employed";"Employed person";"161 Sawmilling and planing of wood";"x 1 000";"1.4";"1.3"
"Labour volume persons employed";"Employed person";"162 Manufacture of products of wood";"x 1 000";"15.7";"14.7"
"Labour volume persons employed";"Employed person";"1623 Manufacture other builders' joinery";"x 1 000";"10.7";"10.3"
"Labour volume persons employed";"Employed person";"17-18 Manufacture of paper and printing";"x 1 000";"48.6";"46.9"
"Labour volume persons employed";"Employed person";"17 Manufacture of paper ";"x 1 000";"18.7";"18.3"
"Labour volume persons employed";"Employed person";"171 Manufacture of pulp, paper,  -board";"x 1 000";"3.8";"3.9"
"Labour volume persons employed";"Employed person";"172 Manufacture of articles of paper";"x 1 000";"14.9";"14.4"
"Labour volume persons employed";"Employed person";"1721 Manufacture corrugated paper(board)";"x 1 000";"8.0";"8.0"
"Labour volume persons employed";"Employed person";"18 Printing and reproduction";"x 1 000";"29.9";"28.7"
"Labour volume persons employed";"Employed person";"181 Printing and services for printing";"x 1 000";"29.0";"27.8"
"Labour volume persons employed";"Employed person";"1812 Other printing";"x 1 000";"24.0";"23.0"
"Labour volume persons employed";"Employed person";"182 Reproduction of recorded media";"x 1 000";"0.9";"0.8"
"Labour volume persons employed";"Employed person";"19-22 Refineries and chemistry";"x 1 000";"100.3";"101.1"
"Labour volume persons employed";"Employed person";"19 Manufacture of coke and petroleum ";"x 1 000";"6.4";"6.1"
"Labour volume persons employed";"Employed person";"19201 Refining of petroleum";"x 1 000";"5.4";"5.1"
"Labour volume persons employed";"Employed person";"20-21 Chemistry and pharmaceuticals";"x 1 000";"62.5";"62.7"
"Labour volume persons employed";"Employed person";"20 Manufacture of chemicals";"x 1 000";"46.3";"47.9"
"Labour volume persons employed";"Employed person";"201 Manufacture of basic chemicals";"x 1 000";"26.6";"27.9"
"Labour volume persons employed";"Employed person";"2013 Manufacture other inorganic chemic";"x 1 000";"2.9";"3.0"
"Labour volume persons employed";"Employed person";"2014 Manufacture other organic chemicals";"x 1 000";"9.0";"9.6"
"Labour volume persons employed";"Employed person";"20141 Manufacture of petrochemicals";"x 1 000";"5.5";"4.9"
"Labour volume persons employed";"Employed person";"20149 Manufacture other organic chemical";"x 1 000";"3.5";"4.7"
"Labour volume persons employed";"Employed person";"2015 Manufacture of fertilisers";"x 1 000";"1.5";"1.5"
"Labour volume persons employed";"Employed person";"2016 Manufacture plastics (primary form)";"x 1 000";"9.8";"10.2"
"Labour volume persons employed";"Employed person";"203 Manufacture of paints and ink";"x 1 000";"6.2";"6.2"
"Labour volume persons employed";"Employed person";"205 Manufacture of other chemicals";"x 1 000";"7.0";"7.3"
"Labour volume persons employed";"Employed person";"206 Manufacture of man-made fibres";"x 1 000";"2.2";"2.3"
"Labour volume persons employed";"Employed person";"21 Manufacture of pharmaceuticals";"x 1 000";"16.3";"14.8"
"Labour volume persons employed";"Employed person";"211 Manufacture of basic pharmaceuticals";"x 1 000";"0.4";"0.4"
"Labour volume persons employed";"Employed person";"212 Manufacture of pharmaceuticals";"x 1 000";"15.9";"14.4"
"Labour volume persons employed";"Employed person";"22 Manufacture rubber, plastic products";"x 1 000";"31.4";"32.3"
"Labour volume persons employed";"Employed person";"221 Manufacture of rubber products";"x 1 000";"3.6";"3.9"
"Labour volume persons employed";"Employed person";"222 Manufacture of plastic products";"x 1 000";"27.8";"28.4"
"Labour volume persons employed";"Employed person";"2221 Manufacture plastic plates, tubes";"x 1 000";"9.1";"8.9"
"Labour volume persons employed";"Employed person";"2229 Manufacture other plastic products";"x 1 000";"8.7";"8.1"
"Labour volume persons employed";"Employed person";"23 Manufacture of building materials";"x 1 000";"27.6";"27.8"
"Labour volume persons employed";"Employed person";"231 Manufacture of glass ";"x 1 000";"5.7";"5.5"
"Labour volume persons employed";"Employed person";"236 Manufacture concrete etc. products";"x 1 000";"13.4";"13.7"
"Labour volume persons employed";"Employed person";"2361 Manufacture of concrete products";"x 1 000";"10.2";"10.6"
"Labour volume persons employed";"Employed person";"237 Stone dressing";"x 1 000";"2.1";"1.9"
"Labour volume persons employed";"Employed person";"24-30, 33 Metalectro-industry";"x 1 000";"332.5";"338.1"
"Labour volume persons employed";"Employed person";"24-25 Man. of basic metals and -products";"x 1 000";"116.3";"118.1"
"Labour volume persons employed";"Employed person";"24 Manufacture of basic metals";"x 1 000";"21.8";"21.9"
"Labour volume persons employed";"Employed person";"241 Manufacture of iron and steel";"x 1 000";"x";"x"
"Labour volume persons employed";"Employed person";"244 Manufacture of non-ferrous metals";"x 1 000";"5.7";"5.5"
"Labour volume persons employed";"Employed person";"245 Casting of metals";"x 1 000";"3.8";"4.2"
"Labour volume persons employed";"Employed person";"25 Manufacture of metal products";"x 1 000";"94.5";"96.2"
"Labour volume persons employed";"Employed person";"251 Manufacture metal structures, doors";"x 1 000";"39.0";"40.7"
"Labour volume persons employed";"Employed person";"255 Forging, pressing, stamping";"x 1 000";"8.7";"8.4"
"Labour volume persons employed";"Employed person";"256 Other treatment of metals, machining";"x 1 000";"23.9";"25.7"
"Labour volume persons employed";"Employed person";"2561 Treatment and coating of metals";"x 1 000";"8.3";"8.6"
"Labour volume persons employed";"Employed person";"2562 Machining";"x 1 000";"15.7";"17.2"
"Labour volume persons employed";"Employed person";"257 Manufacture of hardware";"x 1 000";"3.8";"4.3"
