vraag	antwoord	V1	V2
1	nee	49	0
	gedeeltelijk	0	0
	ja	0	0
2A1	JK	2	0
	JP	44	0
	JC	1	0
	JKP	1	0
	JKPC	1	0
2A2	G_QRMKF	49	0
2A3	1	26	0
	2	11	0
	3	5	0
	4	5	0
	5	2	0
2B1	KJ	1	0
	KA	0	0
	KL	47	0
	KJAL	1	0
2B2	B_OQ	49	0
2B3	1	9	0
	2	9	0
	3	10	0
	4	18	0
	5	3	0
2mooi	F1	8	0
	F2	37	0
	maaktnietuit	4	0
2inter	F1	4	0
	F2	30	0
	maaktnietuit	15	0
2over	F1	20	0
	F2	25	0
	maaktnietuit	4	0
3A1	HZ_AF	42	0
	HZ_SD	3	0
	HZ_KL	0	0
	HZ_SX	0	0
	HZ_SDSX	3	0
	HZ_SDKL	1	0
3A2	SA_3	1	0
	SA_4	0	0
	SA_5	41	0
	SA_6	0	0
	SA_8	1	0
	SA_11	1	0
	SA_20	1	0
	SA_21	3	0
	SA_22	1	0
3A3	1	2	0
	2	8	0
	3	4	0
	4	23	0
	5	12	0
3B1	JM_HD	2	0
	JM_EP	2	0
	JM_EN	3	0
	JM_PQ	38	0
	JM_HDPQ	1	0
	JM_HDEPPQ	3	0
3B2	AJ_6	1	0
	AJ_7	43	0
	AJ_8	1	0
	AJ_18	4	0
3B3	1	3	0
	2	9	0
	3	5	0	
	4	27	0
	5	5	0
3mooi	F1	28	0
	F2	15	0	
	maaktnietuit	6	0
3inter	F1	19	0
	F2	19	0
	maaktnietuit	11	0
3over	F1	16	0
	F2	32	0
	maaktnietuit	1	0
4A1	UT_NF	13	0
	UT_XX	7	0
	UT_EV	2	0
	UT_GG	1	0
	UT_XXEVGG	25	0
	UT_NFXX	1	0
4A2	1	5	0
	2	13	0
	3	4	0
	4	15	0
	5	12	0
4B1	MX_QT	1	0
	MX_IV	37	0
	MX_DR	1	0
	MX_IB	9	0
	MX_x	1	0
	x	0	0
4B2	1	10	0
	2	11	0
	3	3	0
	4	17	0
	5	8	0
4mooi	F1	30	0
	F2	13	0
	maaktnietuit	6	0
4inter	F1	23	0
	F2	12	0
	maaktnietuit	13	0
4over	F1	36	0
	F2	9	0
	maaktnietuit	4	0
